Feature_1,Feature_2,True_Label
-7.109307640921392,-7.305031778008343,2
-7.309833873793246,-7.072387365390859,2
-2.0979251670011556,8.40386430321281,0
4.531038234614491,2.522558109934327,1
-7.898689458740197,-7.384152748734649,2
5.068708647829111,1.8932004189590184,1
-2.4226071601271593,9.20694481806274,0
4.846344563365913,1.6913074075387446,1
-2.748784741975395,8.921456639866413,0
-3.1048493716540744,9.342562932515236,0
-2.8100509291674487,9.94042522045279,0
4.818386579210625,1.6267148863104048,1
-2.4047658255503723,8.034451066258434,0
-3.2168829940779573,8.803963466815642,0
-7.204948475712183,-7.123672285158294,2
-2.8602241699914264,8.850455054899438,0
-7.693398410092851,-6.856067119945256,2
3.627307542899298,2.066396841325446,1
-2.46065884837873,9.498608623464767,0
-2.215769076152615,10.10951394110331,0
-1.9298998335490483,8.603944969022466,0
-2.5898404788857547,9.216311556605591,0
5.127438702936977,1.8996409931896627,1
-6.935791215996685,-6.990594393042558,2
-2.7409064694589813,8.781421251413192,0
-6.614725102193629,-6.159325282946996,2
-7.168012856435436,-6.502413980363069,2
4.2307684946113655,3.0193633217834623,1
4.633755449804644,1.5245424981978162,1
-2.9539548378655116,8.606380985715603,0
-3.0044657856180943,8.731137263396935,0
-3.0446438720833062,9.255522335819915,0
-6.464459282879147,-7.30815150623038,2
-2.4021507509876483,8.391416738842327,0
-7.637222722250546,-6.196672459553684,2
-2.3954676557506853,9.667857505339535,0
-6.501132882828594,-7.341192255364759,2
4.762362121782463,1.7196980962551671,1
-6.933142371128549,-7.397730754485634,2
4.810756824116681,2.911255103548675,1
5.273334410821413,1.6193349511313415,1
-2.380422427691368,8.977063170315239,0
-7.123430303187517,-7.096388687185757,2
4.582608913601792,2.592077839927463,1
-2.526553507905372,8.429947109388555,0
-2.328499820298543,9.783304411431306,0
-6.8438440725415735,-7.118938316658505,2
4.397197062313549,2.0141067536338935,1
-6.710825860113669,-7.08604807633718,2
5.432887244300778,1.3542619345273075,1
4.677781115324964,1.634588828184676,1
-6.883613511809579,-6.1401375238309335,2
-6.696328068102846,-7.350049486439624,2
-1.770250600681992,8.755151019061497,0
-6.289978599119356,-6.846350352570892,2
4.897402679381125,3.8995354292680924,1
-6.682401119962122,-7.090601833686078,2
-2.027509558430589,9.220676591666571,0
4.696637508853725,2.3042350212012552,1
-2.739517008532644,9.54284724130778,0
-6.761819912096987,-6.494676996332463,2
5.7063955235562345,0.9971257841794811,1
5.089678773944727,2.1268194443790365,1
-5.340186786923651,-6.320322137558659,2
-7.004109265390807,-6.394324117798769,2
4.190671500553923,2.219129269693985,1
4.280656725601883,1.8664461080848085,1
-6.523819752106825,-7.442430639194881,2
-7.731318410828847,-6.907883442724256,2
-3.0403494799158026,9.251082343515913,0
5.292618239805266,1.9836716047571115,1
-6.350414947726476,-7.759479336487503,2
-7.229489945147563,-6.773119637908835,2
-2.2725788107659777,8.977871671869885,0
-2.705251699618829,8.282528654132262,0
-6.744398778261351,-6.905228648000515,2
-7.913348241171208,-6.924669613032341,2
4.260312505451252,2.048366577178836,1
-2.8095169680121526,8.868439253301684,0
5.229598896588745,1.7385818578883796,1
-3.015613183219962,9.171409794495958,0
-2.545202683842917,9.516052577144334,0
-6.6291685973390795,-7.3688872156752225,2
-2.343565907350968,9.502058691759501,0
5.115090755321127,1.6847178561095304,1
-6.4617811351187,-7.444963020604756,2
-6.295736160321367,-6.75289917162534,2
-1.5763103674803718,9.251202588654216,0
5.52260595636865,2.1756605394212096,1
-3.198032307031296,8.54537360824076,0
-7.7143298317119555,-6.608429497085979,2
-2.527110642607726,9.796607956105325,0
-6.6401372782780745,-6.713278540632473,2
-2.051496564201713,9.178661683028164,0
-2.7740777249362694,9.270919844755,0
-7.156451843824861,-7.479048539570371,2
-7.413437405842568,-6.951299335786594,2
-2.3792562259285384,9.405197564086977,0
-7.261256769422529,-7.782550643608206,2
-6.67290973953942,-5.941711686996913,2
4.402406180647623,1.6465050676538762,1
